,Unnamed: 0,ID,DATE,year,month,day,Day of week,season,hour_category,holiday,Road Surface Condition,Ambient Light,Weather Condition,PRCP,SNOW,TMAX,TMIN,lon,lat,label
0,0,1,1/1/2002,2002,1,1,Tuesday,Winter,day,TRUE,Dry,Daylight,Clear,0,0,36,13,41.94861042,-71.27758702,1504
1,1,2,1/2/2002,2002,1,2,Wednesday,Winter,night,TRUE,Dry,Dusk,Clear,0,0,39,19,41.93268269,-71.29622047,1217
2,2,3,1/2/2002,2002,1,2,Wednesday,Winter,night,TRUE,Wet,Dark - lighted roadway,Rain,0,0,39,19,41.9483337,-71.27794679,1464
3,3,5,1/2/2002,2002,1,2,Wednesday,Winter,day,TRUE,Dry,Daylight,Clear,0,0,39,19,41.93821835,-71.29107975,1300
4,4,9,1/3/2002,2002,1,3,Thursday,Winter,rush,FALSE,Dry,Daylight,Clear,0,0,38,22,41.9226456,-71.29240368,1253
5,5,10,1/3/2002,2002,1,3,Thursday,Winter,rush,FALSE,Dry,Dusk,Clear,0,0,38,22,41.94313451,-71.27152156,1582
6,6,12,1/4/2002,2002,1,4,Friday,Winter,rush,FALSE,Dry,Daylight,Clear,0,0,36,16,41.91035947,-71.36314658,248
7,7,13,1/4/2002,2002,1,4,Friday,Winter,rush,FALSE,Dry,Daylight,Clear,0,0,36,16,41.94625923,-71.28694634,1343
8,8,14,1/4/2002,2002,1,4,Friday,Winter,rush,FALSE,Dry,Daylight,Clear,0,0,36,16,41.94666472,-71.28742757,1344
9,9,16,1/4/2002,2002,1,4,Friday,Winter,day,FALSE,Dry,Daylight,Clear,0,0,36,16,41.94586371,-71.28073807,1423
10,10,17,1/4/2002,2002,1,4,Friday,Winter,day,FALSE,Dry,Daylight,Clear,0,0,36,16,41.91568377,-71.35895878,330
11,11,19,1/5/2002,2002,1,5,Saturday,Winter,day,FALSE,Dry,Dark - lighted roadway,Clear,0,0,43,26,41.95076301,-71.27397064,1545
12,12,20,1/5/2002,2002,1,5,Saturday,Winter,rush,FALSE,Dry,Dark - lighted roadway,Clear,0,0,43,26,41.90998013,-71.35802082,328
13,13,21,1/6/2002,2002,1,6,Sunday,Winter,day,FALSE,Wet,Daylight,Cloudy/Rain,0.49,0,46,28,41.92698472,-71.35514936,375
